location,Total Cases,Total Death,Mortality Rate,Population,Population_Density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,female_smokers,male_smokers,January,February,March,April,May,June,July,August,September,October,November,December
Eritrea,710,0,0.0000,3546427,44.304,19.3,3.607,2.171,1510.459,311.11,6.05,0,0.7,66.32,0.44,0.2,11.4,0,0,14,24,0,164,76,40,56,88,114,134
Estonia,19270,159,0.0083,1326539,31.033,42.7,19.452,13.491,29481.252,255.569,4.02,0,4.69,78.74,0.871,24.5,39.3,0,0,744,944,180,120,75,311,996,1534,7403,6963
Eswatini,7025,134,0.0191,1160164,79.492,21.5,3.163,1.845,7738.975,333.436,3.94,24.097,2.1,60.19,0.588,1.7,16.5,0,0,8,91,185,527,1836,1929,905,435,502,607
Ethiopia,118005,1816,0.0154,114963583,104.957,19.8,3.526,2.063,1729.927,182.634,7.47,7.96,0.3,66.6,0.463,0.4,8.5,0,0,25,105,1041,4674,11684,34601,23237,20801,13905,7932
Fiji,45,1,0.0222,896444,49.562,28.6,6.224,3.284,8702.975,412.82,14.49,0,2.3,67.44,0.741,10.2,34.8,0,0,4,13,0,0,9,1,4,2,8,4
Finland,31869,471,0.0148,5540718,18.136,42.8,21.228,13.264,40585.721,153.507,5.76,0,3.28,81.91,0.92,18.3,22.6,0,2,1415,3577,1864,355,218,654,1906,6121,8799,6958
France,2465124,59471,0.0241,65273512,122.578,42,19.718,13.079,38605.671,86.06,4.77,0,5.98,82.66,0.901,30.1,35.6,0,95,52178,116583,22114,13269,22995,93921,284733,808471,862510,188252
Gabon,9372,62,0.0066,2225728,7.859,23.1,4.45,2.976,16562.413,259.967,7.2,0,6.3,66.47,0.702,0,0,0,0,15,260,2379,2739,1958,1181,233,202,246,159
Gambia,3785,122,0.0322,2416664,207.566,17.5,2.339,1.417,1561.767,331.43,1.91,7.876,1.1,62.05,0.46,0.7,31.2,0,0,3,7,14,24,449,2465,616,93,70,44
Georgia,198386,1921,0.0097,3989175,65.032,38.7,14.864,10.244,9745.079,496.218,7.11,0,2.6,73.77,0.78,5.3,55.5,0,0,109,429,244,145,240,319,4705,32744,96648,62803
Germany,1423829,24271,0.0170,83783945,237.016,46.6,21.453,15.957,45229.245,156.139,8.31,0,8,81.33,0.936,28.2,33.1,0,74,71729,91201,20401,12008,14981,34403,48111,238877,538122,353918
Ghana,53383,326,0.0061,31072945,126.719,21.1,3.385,1.948,4227.63,298.245,4.97,41.047,0.9,64.07,0.592,0.3,7.7,0,0,158,1913,5996,9671,17760,8797,2328,1429,3612,1719
Greece,127556,3869,0.0303,10423056,83.479,45.3,20.396,14.524,24574.382,175.695,4.55,0,4.21,82.24,0.87,35.3,52,0,3,1310,1277,326,492,1068,5840,8158,20776,66020,22286
Grenada,84,0,0.0000,112519,317.132,29.4,7.304,5.021,13593.877,243.964,10.71,0,3.7,72.4,0.772,0,0,0,0,8,11,3,0,1,0,0,4,13,44
Guatemala,130827,4509,0.0345,17915567,157.834,22.9,4.694,3.016,7423.808,155.898,10.18,76.665,0.6,74.3,0.65,0,0,0,0,37,561,4488,13009,31693,24285,17672,16193,14123,8766
Guinea,13473,79,0.0059,13132792,51.755,19,3.135,1.733,1998.926,336.717,2.42,17.45,0.3,61.6,0.459,0,0,0,0,21,1473,2211,1685,1917,2101,1243,1420,1047,355
Guinea-Bissau,2445,43,0.0176,1967998,66.191,19.4,3.002,1.565,1548.675,382.474,2.42,6.403,0,58.32,0.455,0,0,0,0,6,197,1051,398,327,224,119,89,28,6
Guyana,6015,157,0.0261,786559,3.952,26.3,5.305,2.837,7435.047,373.159,11.62,77.159,1.6,69.91,0.654,0,0,0,0,11,70,71,92,168,893,1588,1268,1244,610
Haiti,9595,233,0.0243,11402533,398.448,24.3,4.8,2.954,1653.173,430.548,6.65,22.863,0.7,64,0.498,2.9,23.1,0,0,13,66,2043,3851,1449,800,542,291,237,303
Honduras,115315,3012,0.0261,9904608,82.805,24.9,4.652,2.883,4541.795,240.208,7.21,84.169,0.7,75.27,0.617,2,0,0,0,139,630,4431,14356,22456,19000,15886,19988,11365,7064
Hong Kong,0,0,0.0000,7496988,7039.714,44.8,16.303,10.158,56054.92,0,8.33,0,0,84.86,0.933,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,288565,7380,0.0256,9660350,108.043,43.4,18.577,11.976,26777.561,278.296,7.55,0,7.02,76.88,0.838,26.8,34.8,0,0,490,2283,1101,279,350,1634,20322,48860,141801,71445
Iceland,5577,27,0.0048,341250,3.404,37.3,14.431,9.207,46482.958,117.992,5.31,0,2.91,82.99,0.935,14.3,15.2,0,0,1134,662,9,18,61,222,621,2137,527,186
India,9956556,144450,0.0145,1380004385,450.419,28.2,5.989,3.414,6426.674,282.28,10.39,59.55,0.53,69.66,0.64,1.9,20.6,0,2,1394,33466,155746,394872,1110507,1995178,2621418,1871498,1278727,493748
Indonesia,636152,19247,0.0303,273523621,145.725,29.3,5.319,3.053,11188.744,342.864,6.32,64.204,1.04,71.72,0.694,2.8,76.1,0,0,1526,8590,16355,29912,51991,66420,112212,123080,128795,97271
International,660,13,0.0197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,644,9,7,0,0,0,0,0,0,0,0
Iran,1131075,52881,0.0468,83992953,49.831,32.4,5.44,3.182,19082.62,270.308,9.59,0,1.5,76.68,0.798,0.8,21.1,0,591,44012,50035,56826,76196,76542,71008,82007,155553,349298,169007
Iraq,578915,12634,0.0218,40222503,88.125,20,3.186,1.957,15663.986,218.612,8.83,94.576,1.4,70.6,0.685,0,0,0,12,681,1391,4354,42670,75500,110325,128047,109649,79919,26367
Ireland,77196,2139,0.0277,4937796,69.874,38.7,13.928,8.678,67335.293,126.459,3.28,0,2.96,82.3,0.938,23,25.7,0,0,3234,17377,4378,483,592,2746,7344,25301,11088,4653
Israel,365041,3033,0.0083,8655541,402.606,30.6,11.733,7.359,33132.32,93.32,6.74,0,2.99,82.97,0.903,15.4,35.4,0,5,5711,10179,1183,8359,46296,45172,130505,66938,22842,27851
Italy,1888142,66536,0.0352,60461828,205.859,47.9,23.021,16.24,35220.084,113.151,4.78,0,3.18,83.51,0.88,19.8,27.8,0,1126,104664,99671,27534,7581,6959,21677,45647,364569,922124,286590
Jamaica,11906,275,0.0231,2961161,266.879,31.4,9.684,6.39,8193.571,206.537,11.28,66.425,1.7,74.47,0.732,5.3,28.6,0,0,35,386,164,116,176,1581,4023,2612,1669,1144
Japan,187749,2622,0.0140,126476458,347.778,48.2,27.049,18.493,39002.223,79.37,5.72,0,13.05,84.63,0.909,11.2,33.7,0,230,2010,12029,2467,1864,17619,32162,15195,17736,47635,38789
Jordan,267584,3464,0.0129,10203140,109.285,23.2,3.81,2.361,8337.49,208.257,11.75,0,1.4,74.53,0.735,0,0,0,0,273,179,286,393,61,841,9791,60782,146823,48155
Kazakhstan,188833,2612,0.0138,18776707,6.681,30.6,6.991,4.625,24055.588,466.792,7.11,98.999,6.7,73.6,0.8,7,43.1,0,0,339,3059,7456,11450,68059,40306,10034,8992,24864,14274
Kenya,92852,1613,0.0174,53771300,87.324,20,2.686,1.528,2993.028,218.637,2.92,24.651,1.4,66.7,0.59,1.2,20.4,0,0,58,337,1566,4404,14270,13565,4328,16663,28426,9235
Kosovo,47497,1224,0.0258,1932774,168.155,0,0,0,9795.834,0,0,0,0,0,0,0,0,0,0,104,693,271,1729,5531,5124,2166,3708,20268,7903
Kuwait,146970,912,0.0062,4270563,232.128,33.7,2.345,1.114,65530.537,132.235,15.84,0,2,75.49,0.803,2.7,37,0,44,244,3735,23019,19152,20762,18152,20073,20744,16709,4336
Kyrgyzstan,78148,1316,0.0168,6524191,32.333,26.3,4.489,2.882,3393.474,436.362,7.11,89.22,4.5,71.45,0.672,3.6,50.5,0,0,104,639,1002,3758,30299,8093,2771,12209,14300,4973
Laos,39,0,0.0000,7275556,29.715,24.4,4.029,2.322,6397.36,368.111,4,49.839,1.5,67.92,0.601,7.3,51.2,0,0,7,10,0,0,1,2,1,1,15,2
Latvia,27494,381,0.0139,1886202,31.212,43.9,19.754,14.136,25063.846,350.06,4.91,0,5.57,75.29,0.847,25.6,51,0,0,397,460,208,52,113,165,428,4070,11181,10420
Lebanon,150932,1233,0.0082,6825442,594.561,31.1,8.514,5.43,13367.565,266.591,12.71,0,2.9,78.93,0.757,26.9,40.7,0,3,466,255,495,558,2777,12753,22326,41594,46716,22989
Lesotho,2364,45,0.0190,2142252,73.562,22.2,4.506,2.647,2851.153,405.126,3.94,2.117,0,54.33,0.52,0.4,53.9,0,0,0,0,1,25,577,481,510,358,156,256
Liberia,1772,82,0.0463,5057677,49.127,19.2,3.057,1.756,752.788,272.509,2.42,1.188,0.8,64.1,0.435,1.5,18.1,0,0,2,138,147,492,406,118,39,83,169,178
Libya,92576,1323,0.0143,6871287,3.623,29,4.424,2.816,17881.509,341.862,10.43,0,3.7,72.91,0.706,0,0,0,0,9,51,95,668,2797,10345,20559,26570,21714,9768
Liechtenstein,1599,20,0.0125,38137,237.012,0,0,0,0,0,7.77,0,2.397,82.49,0.916,0,0,0,0,67,14,0,0,6,19,11,415,737,330
Lithuania,99868,906,0.0091,2722291,45.135,43.5,19.002,13.778,29524.265,342.989,3.67,0,6.56,75.93,0.858,21.3,38,0,0,536,848,290,142,258,831,1787,10131,46501,38544
Luxembourg,42844,420,0.0098,625976,231.447,39.7,14.312,9.842,94277.965,128.275,4.42,0,4.51,82.25,0.904,20.9,26,0,0,2177,1606,234,281,2396,-70,1884,8625,17544,8167
Madagascar,17584,258,0.0147,27691019,43.951,19.6,2.929,1.686,1416.44,405.994,3.94,50.54,0.2,67.04,0.519,0,0,0,0,54,71,643,1443,8654,3995,1545,703,230,246
Malawi,6088,186,0.0306,19129955,197.519,18.1,2.979,1.783,1095.042,227.349,3.94,8.704,1.3,64.26,0.477,4.4,24.7,0,0,0,34,247,940,2854,1488,207,157,98,63
Malaysia,87910,427,0.0049,32365998,96.254,29.9,6.293,3.407,26808.164,260.942,16.74,0,1.9,76.16,0.802,1,42.4,0,17,2741,3236,1817,820,337,364,1884,20324,34149,22216
Maldives,13398,47,0.0035,540542,1454.433,30.6,4.12,2.875,15183.616,164.905,9.19,95.803,0,78.92,0.717,2.1,55,0,0,14,450,1305,588,1432,4011,2487,1368,1352,391
Mali,5967,208,0.0349,20250834,15.196,16.4,2.519,1.486,2014.306,268.024,2.42,52.232,0.1,59.31,0.427,1.6,23,0,0,26,462,775,916,354,241,342,436,1156,1259
Malta,11412,179,0.0157,441539,1454.037,42.4,19.426,11.324,36513.323,168.711,8.83,0,4.485,82.53,0.878,20.9,30.2,0,0,166,296,153,52,154,1059,1175,2984,3831,1542
Marshall Islands,2,0,0.0000,59194,295.15,0,0,0,3819.202,557.793,30.53,82.502,2.7,73.7,0.708,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Mauritania,11628,243,0.0209,4649660,4.289,20.3,3.138,1.792,3597.633,232.347,2.42,15.95,0,64.92,0.52,0,0,0,0,5,2,522,3833,1947,738,454,201,898,3028
Mauritius,521,9,0.0173,1271767,622.962,37.4,10.945,5.884,20292.745,224.644,22.02,0,3.4,74.99,0.79,3.2,40.7,0,0,140,189,3,6,3,12,25,60,63,20
Mexico,1277498,115768,0.0906,128932753,66.444,29.3,6.857,4.321,17336.469,152.783,13.06,87.847,1.38,75.05,0.774,6.9,21.4,0,3,1211,18009,71440,135425,198548,174923,143656,181746,188581,163956
Moldova,130328,2649,0.0203,4033963,123.655,37.6,10.864,6.955,5189.972,408.502,5.72,86.979,5.8,71.9,0.7,5.9,44.6,0,0,352,3544,4354,8362,8120,12187,16122,22998,31324,22965
Monaco,684,2,0.0029,39244,19347.5,0,0,0,0,0,5.46,0,13.8,86.75,0,0,0,0,0,51,43,4,4,17,34,64,141,250,76
Mongolia,922,0,0.0000,3278292,1.98,28.6,4.031,2.421,11840.846,460.043,4.82,71.18,7,69.87,0.741,5.5,46.5,0,0,11,26,141,41,71,13,9,33,455,122
